Branch Name,Branch Number,Address1,Branch City,Branch Province,PostalCode,Branch Country,Region Name,Latitude,Longitude,BranchJoinKey,Telephone1,Division Name,LOBName
Corp – R&M,1008,,Edmonton,AB,,CA,,53.4713,-113.475,10081,,Northern Alberta Division,"CA-CF,AU-AG"
Corp – SC,1003,,Edmonton,AB,,CA,,53.5461,-113.4923,10031,,Northern Alberta Division,"CA-CF,AU-AG"
Corp - SLS SPT,1006,,Regina,SK,,CA,,50.4481,-104.61,10061,,Northern Alberta Division,"CA-CF,AU-AG"
Corp – VP,1004,,Edmonton,AB,,CA,,53.5444,-113.4909,10041,,Northern Alberta Division,"CA-CF,AU-AG"
Corp – WPS,1002,,Edmonton,AB,,CA,,53.5461,-113.4923,10021,,Northern Alberta Division,"CA-CF,CA-AG"
Corporate,149,1 Brandt Wy,Regina,SK,S4P 3R8,CA,CA East,50.44883869,-104.4935107,1491,,Head Office - East Division,CA-CF
Corporate - East,195,1 Brandt Wy,Regina,SK,S4P 3R8,CA,CA East,50.44883869,-104.4935107,1951,,Head Office - East Division,CA-CF
Corporate Pool - Central,201,,Mississauga,ON,,CA,CA East,,,2011,,Head Office - Central Division,CA-CF
Corporate Pool - East,200,,,SK,,CA,CA East,52.9399,-102.3936,2001,,Head Office - East Division,CA-CF
Corporate Pool - West,147,,Regina,SK,,CA,CA West,,,1471,,Head Office Division - CF,CA-CF
Corporate Services,71,,,,,AU,Australia,,,717,,Corporate Services - AU,AU-AG
Corporate Services,71,,,,,NZ,New Zealand,,,718,,Corporate Services - NZ,"NZ-AG,NZ-AG"
CPW - Calgary,145,10121 Barlow Trail NE,Calgary,AB,T3J 3C6,CA,CA West,51.14565529,-114.0022054,1451,,Head Office - Central Division,CA-CF
CPW - Calgary,345,10121 Barlow Trail NE,Calgary,AB,T3J 3C6,CA,CA West,51.1456351,-114.0031496,3451,,Head Office Division - AG,CA-AG
CPW - Mississauga,194,1655 Britannia Rd E,Mississauga,ON,L4W 1S5,CA,CA Central,43.65943432,-79.64396564,1941,,Head Office - East Division,CA-CF
CPW - Moncton,138,160 Urquhart Ave,Moncton,NB,E1H 2R5,CA,CA East,46.12854458,-64.75169931,1381,,Head Office Division - CF,CA-CF
Cranbrook,119,604 Industrial Road #3,Cranbrook,BC,V1C 4V2,CA,CA West,49.52232071,-115.7685287,1191,250-426-3400,Southern Alberta Division,CA-CF
Creston - AG,310,1617 Northwest Blvd,Creston,BC,V0B 1G6,CA,CA West,49.11616138,-116.5235187,3101,(250) 431-9002,Southern Alberta,CA-AG
Drumheller - AG,313,3049 Highway 10 East,Drumheller,AB,T0J 0Y7,CA,CA West,51.42856955,-112.6494543,3131,(403) 823-8484,Central Alberta,CA-AG
Dryden,173,329 Kennedy Street,Dryden,ON,P8N 2Y5,CA,CA Central,49.79840788,-92.84790131,1731,,Northern Ontario,CA-CF
East Pool,197,,,SK,,CA,CA East,52.1233,-106.6633,1971,,Head Office - East Division,CA-CF
Edmonton,106,10630 - 176TH ST,Edmonton,AB,T5S 1M2,CA,CA West,53.55250723,-113.624874,1061,780-484-6613,Northern Alberta Division,CA-CF
Edmonton CCE,190,10571-178 Street,Edmonton,AB,T5S 2K4,CA,CA West,53.54992716,-113.6259217,1901,,Northern Alberta Division,CA-CF
Edmundston,169,"680, Blvd Isidore-Boucher",Edmundston,NB,E3V 4H6,CA,CA East,47.40389839,-68.3621116,1691,,Atlantic Division,CA-CF
Equipment Sales and PM,148,,,SK,,CA,CA West,52.9399,-102.3936,1481,,Head Office - Central Division,CA-CF
Equipment Sales and PM- AG,348,,Regina,SK,,CA,CA West,,,3481,,Head Office Division - AG,CA-AG
Estevan,182,1 Frontier Street,Estevan,SK,S4A 2K9,CA,CA West,49.13125989,-102.922829,1821,,Saskatchewan / Manitoba Division,CA-CF
Estevan - TT,54,1 Frontier St,Estevan,SK,S4A 2K9,CA,CA West,49.13134927,-102.9219973,543,(306) 636-6320,Transportation SK,"CA-TT,CA-TT"
Fort McMurray,108,5-360 MCKENZIE BLVD,Fort McMurray,AB,T9H 4C4,CA,CA West,56.66738832,-111.3332484,1081,780-791-6635,Northern Alberta Division,CA-CF
Fort Nelson,110,4505-55th Street,Fort Nelson,BC,V0C 1R0,CA,CA West,58.80009762,-122.7131256,1101,250-774-4725,Peace Area Division,CA-CF
Fort St John,109,10344 CLAIRMONT FRG,Fort St. John,BC,V1J 4J1,CA,CA West,56.26293174,-120.9201582,1091,250-785-6762,Peace Area Division,CA-CF
Fredericton,139,171 Greenview Drive,Hanwell,NB,E3C 0M7,CA,CA East,45.91860678,-66.70691706,1391,506-458-8380,Atlantic Division,CA-CF
Gisborne,20,67 Awapuni Road,Gisborne,GIS,4010,NZ,New Zealand,-38.66848942,178.0153271,208,06 869 0006,North Island South - CF,"NZ-CF,NZ-AG"
Gisborne - CF,29,"67 Awapuni Road, Awapuni",Gisborne,NZ,4010,NZ,New Zealand,-38.66858383,178.0150748,298,,North Island South - CF,NZ-CF
GMA-MH,180,,GMA,QC,,CA,CA East,,,1801,,Western Quebec,CA-CF
Grand Falls,178,15 Bayley Street,Grand Falls-Windsor,NL,A2A 2Y3,CA,CA East,48.95170253,-55.64201436,1781,,NFLD & Lab,CA-CF
Grande Prairie,107,7301-102 Street,Clairmont,AB,T8X 5A7,CA,CA West,55.23390445,-118.7974838,1071,780-532-3414,Peace Area Division,CA-CF
Group Management - AU,7,,,,,AU,Australia,,,77,,,
Group Management - NZ,81,,,,,NZ,New Zealand,,,818,,Corporate Services - NZ,NZ-CF
Group Staff - NZ,1015,,,,,NZ,New Zealand,,,10158,,,
GTA - MH,179,,GTA,ON,,CA,CA Central,,,1791,,South Central Ontario,CA-CF
GVA-MH,181,,GVA,BC,,CA,CA West,,,1811,,BC Coastal Division,CA-CF
Hagersville - TT,3,"#4011, Highway #6 South",Hagersville,ON,N0A 1H0,CA,CA Central,42.96968498,-80.04672583,33,(905) 768-1300,Transportation ON,"CA-TT,CA-TT"
Halifax,142,60 Symonds Road,Bedford,NS,B4B 1H3,CA,CA East,44.72540548,-63.70131293,1421,,Atlantic Division,CA-CF
Hamilton,1,94 Portland Rd,Hamilton,VIC,3300,AU,Australia,-37.75333748,142.0082636,17,03 5572 3522,Southwest Victoria,"AU-AG,AU-CF"
Hamilton,26,8 Kells Place,Hamilton,WKO,3204,NZ,New Zealand,-37.80360535,175.2613105,268,07 847 0425,North Island North,"NZ-AG,NZ-CF"
Hanna - AG,314,302 Pioneer Trail,Hanna,AB,T0J 1P0,CA,CA West,51.63699674,-111.9154315,3141,(403) 854-3334,Central Alberta,CA-AG
Hastings,13,1318 Omahu Road,Hastings,HKB,4175,NZ,New Zealand,-39.61486215,176.8002754,138,06 879 9907,North Island South - AG,NZ-AG
Hastings,19,1863 Frankston - Flinders Rd,Hastings,VIC,3915,AU,Australia,-38.28717113,145.1851533,197,(03) 5979 2155,Metro Victoria,AU-AG
Hastings - CF,28,115 Henderson Road,,HKB,4175,NZ,New Zealand,-39.61486215,176.8002754,288,,North Island South - AG,"NZ-AG,NZ-AG"
Head Office,100,,Regina,SK,S4P 3R8,CA,CA West,50.44888518,-104.49341,1001,306-791-3334,Head Office Division - CF,CA-CF
Head Office - Calgary - ADM,300,"6302, 333 - 96 Avenue NE",Calgary,AB,T3K 0S3,CA,CA West,51.1402285,-114.0632552,3001,1-877-567-0339,Head Office Division - AG,CA-AG
Head Office - East,196,1 Brandt Wy,Regina,SK,S4P 3R8,CA,CA East,50.44883869,-104.4935107,1961,,Head Office - East Division,CA-CF
Hearst,174,1500 Front Street,Hearst,ON,P0L 1N0,CA,CA Central,49.6872862,-83.64276152,1741,,Northern Ontario,CA-CF
High River - AG,306,498114 - 121 St East,High River,AB,T1V 1M7,CA,CA West,50.59509901,-113.824995,3061,(403) 652-7797,Southern Alberta,CA-AG
IFRS Reporting - AU,90,,,,,AU,Australia,,,907,,IFRS Reporting - AU,AU-AG
IFRS Reporting - NZ,90,,,,,NZ,New Zealand,,,908,,IFRS Reporting - NZ,NZ-AG
Kamloops,112,499 CHILCOTIN RD,Kamloops,BC,V2C 6X2,CA,CA West,50.66025739,-120.1116054,1121,250-374-2115,Interior BC Division,CA-CF
Keith,15,Dukes Hwy,Keith,SA,5267,AU,Australia,-36.09023947,140.3466316,157,(08) 8755 0800,Southwest Victoria - CF,"AU-CF,AU-AG"
Knoxfield,13,14 Rushdale Street,Knoxfield,VIC,3180,AU,Australia,-37.89514137,145.2558619,137,03 9763 8255,Metro Victoria,AU-AG
Labrador,172,9 Toronto Ave,Goose Bay,NL,A0P 1C0,CA,CA East,53.32731186,-60.41083774,1721,,NFLD & Lab,CA-CF
Lake Gardens - SRO - ADM,3,7/9-19 St Cedars Grove,Lake Gardens,VIC,3355,AU,Australia,-37.54508576,143.8170471,37,,,
Launceston,21,4 Australis Dr,Rocherlea,TAS,7248,AU,Australia,-41.37323454,147.1124571,217,,Metro Victoria,AU-AG
Laval,161,"4500, Autoroute Chomedey",Laval,QC,H7R 6E9,CA,CA East,45.56640466,-73.8232585,1611,,Western Quebec,CA-CF
Lease & Rental ON - TT,20,,,ON,,CA,CA Central,,,203,,Transportation ON,CA-TT
Lease & Rental SK - TT,56,,,SK,,CA,CA West,,,563,,Transportation SK,CA-TT
Leongatha,4,2 Hogans Rd Leongatha South,Leongatha,VIC,3953,AU,Australia,-38.53112876,145.9516527,47,03 5667 6600,Southeast Victoria,"AU-AG,AU-CF"
Lethbridge,137,#5-90070 Range Road 211,Lethbridge,AB,T1J 5P1,CA,CA West,49.71044441,-112.738922,1371,403-327-4611,Southern Alberta Division,CA-CF
Lilydale,14,459 Maroondah Hwy,Lilydale,VIC,3140,AU,Australia,-37.75380701,145.3629215,147,,Southeast Victoria,"AU-AG,AU-CF"
Lloydminster - TT,53,5201 40th Ave,Lloydminster,SK,S9V 2B5,CA,CA West,53.28483967,-109.977603,533,(306) 825-3553,Transportation SK,"CA-TT,CA-TT"
London,157,16 Royce Court,London,ON,N6E 1L1,CA,CA Central,42.92805933,-81.21001122,1571,,Southwest Ontario,CA-CF
London - TT,1,31 Buchanan Court,London,ON,N5Z 4P9,CA,CA Central,42.93671737,-81.18500509,13,(519) 686-1000,Transportation ON,"CA-TT,CA-TT"
Maffra,8,16-18 Johnson St,Maffra,VIC,3860,AU,Australia,-37.96443372,146.9731038,87,03 5147 1122,Southeast Victoria,"AU-AG,AU-CF"
Manawatu,11,15 Darragh Road,Feilding,MWT,4775,NZ,New Zealand,-40.23527111,175.5674171,118,,North Island South - CF,"NZ-CF,NZ-AG"
Manawatu - CF,30,15 Darragh Road,Feilding,NZ,4775,NZ,New Zealand,-40.23525473,175.5667519,308,,North Island South - CF,NZ-CF
Masterton,32,315 High Street,Masterton,WGN,5810,NZ,New Zealand,-40.96291645,175.6132552,328,64 6 377 3009,North Island South - CF,"NZ-CF,NZ-AG"
Melbourne,22,71 Queens Rd,Melbourne,VIC,3004,AU,Australia,-37.85135652,144.979343,227,,Metro Victoria,AU-AG
Melfort - AG,324,"Box 699, 2320 Saskatchewan Drive S",Melfort,SK,S0E 1A0,CA,CA West,52.83904927,-104.5897399,3241, (306) 752-9344,Northern Saskatchewan,CA-AG
Milton,124,8035 Esquesing Line,Milton,ON,L9T 5C8,CA,CA Central,43.5420347,-79.87593311,1241,905-693-0771,South Central Ontario,CA-CF
Mississauga,153,1655 Britannia Road East,Mississauga,ON,L4W 1S5,CA,CA Central,43.65951967,-79.64390396,1531,,South Central Ontario,CA-CF
Mississauga - TT,11,1257 Eglinton Avenue E,Mississauga,ON,L4W 1K7,CA,CA Central,43.63364931,-79.62382117,113,(905) 268-2000,Transportation ON,"CA-TT,CA-TT"
Moncton,140,160 Urquhart Avenue,Monctun,NB,E1H 2R5,CA,CA East,46.12848861,-64.7524245,1401,,Atlantic Division,CA-CF
Mont Laurier,176,327 Chemin du Golf,Lac-des-Écorces,QC,J0W 1H0,CA,CA East,46.56273955,-75.4045577,1761,,Western Quebec,CA-CF
Mont-Joli,177,930 Route de l'aéroport,Mont-Joli,QC,G5H 3L3,CA,CA East,48.59884761,-68.21003476,1771,,Eastern Quebec,CA-CF
Mount Gambier,18,290 Jubilee Highway,Mount Gambier,SA,5291,AU,Australia,-37.80980789,140.7439416,187,(08) 8724 6900,Southwest Victoria - CF,"AU-CF,AU-AG"
Mount Pearl,170,15 Allston Street,Mount Pearl,NL,A1N 0A3,CA,CA East,47.53274333,-52.82350969,1701,,NFLD & Lab,CA-CF
Nanaimo,120,1830 SCHOOLHOUSE RD,Nanaimo,BC,V9X 1T4,CA,CA West,49.09968144,-123.8890899,1201,250-754-7735,BC Coastal Division,CA-CF
Naracoorte,17,230 Smith Street,Naracoorte,SA,5271,AU,Australia,-36.95315926,140.7559082,177,(08) 8760 1800,Southwest Victoria - CF,"AU-CF,AU-AG"
Nipawin - AG,326,2002 Highway 35 South,Nipawin,SK,S0E 1E0,CA,CA West,53.33545248,-104.0268814,3261,(306) 862-9344,Northern Saskatchewan,CA-AG
Norfolk - TT,9,1150 Vittoria Rd,Vittoria,ON,N0E 1W0,CA,CA Central,42.74954361,-80.35216315,93,,Transportation ON,"CA-TT,CA-TT"
North Bay - TT,4,3410 Hwy 11 N,North Bay,ON,P1B 8G3,CA,CA Central,46.36593364,-79.46404326,43,(705) 472-4000,Transportation ON,"CA-TT,CA-TT"
Northern ON - TT,24,,,ON,,CA,CA Central,,,243,,Transportation ON,"CA-TT,CA-TT"
Northern SK - TT,61,,,SK,,CA,CA West,,,613,,Transportation SK,"CA-TT,CA-TT"
Olds - AG,307,4310 - 50th Avenue,Olds,AB,T4H 1A5,CA,CA West,51.7994529,-114.1019066,3071,(403) 556-6961,Central Alberta,CA-AG
Ottawa,160,190 David Manchester Road,Ottawa,ON,K0A 1L0,CA,CA Central,45.25877038,-75.97290716,1601,,South Central Ontario,CA-CF
Ottawa - TT,18,2650 Carp Rd.,Ottawa,ON,K0A 1L0,CA,CA Central,45.30120557,-75.97777504,183,(613) 831-2940,Transportation ON,"CA-TT,CA-TT"
Pakenham,12,85 Bald Hill Road,Pakenham,VIC,3810,AU,Australia,-38.08645611,145.4972637,127,03 5941 5966,Southeast Victoria,"AU-AG,AU-CF"
PDI - Moncton,192,160 Urquhart Ave,Moncton,NB,E1H 2R5,CA,CA East,46.12844961,-64.75215733,1921,,Head Office Division - CF,CA-CF
PDI - Regina,126,,Regina,SK,S4P 3E1,CA,CA West,50.52501179,-104.6242578,1261,,Head Office Division - CF,CA-CF
Penhold - AG,316,37043 Hwy 2 Service Rd NB (northbound),Red Deer,AB,T4E 2C1,CA,CA West,52.15258963,-113.8112413,3161,(403) 343-2238,Central Alberta,CA-AG
Peterborough,155,1003 Highway 7 East,Peterborough,ON,K9J 7Y8,CA,CA Central,44.29972242,-78.25602865,1551,,South Central Ontario,CA-CF
Pincher Creek - AG,308,1165 Main Street,Pincher Creek,AB,T0K 1W0,CA,CA West,49.48651205,-113.9283003,3081, (403) 627-4451,Southern Alberta,CA-AG
Ponoka - AG,303,3600 Highway 2A South,Ponoka,AB,T4J 1J8,CA,CA West,52.66572653,-113.6034854,3031,(403) 783-3337,Central Alberta,CA-AG
Preventative Maintenance,48,,,,,AU,Australia,,,487,,Corporate Services - AU,AU-AG
Preventative Maintenance,48,,,,,NZ,New Zealand,,,488,,Corporate Services - NZ,"NZ-AG,NZ-AG"
Prince Albert - AG,325,Box 2949,Prince Albert,SK,S6V 7M4,CA,CA West,53.17025728,-105.7309446,3251,(306) 763-6686,Northern Saskatchewan,CA-AG
Prince Albert - TT,57,"3800 5th Ave East, #8",Prince Albert,SK,S6W 0A1,CA,CA West,53.17851425,-105.7383904,573,(306) 557-2067,Transportation SK,"CA-TT,CA-TT"
Prince George,111,1049 GREAT ST,Prince George,BC,V2N 2K8,CA,CA West,53.87937804,-122.7387006,1111,250-562-1151,Northern BC Division,CA-CF
Product Support Centre,125,,Regina,SK,,CA,CA West,,,1251,,Head Office Division - CF,CA-CF
PTD - Atlantic,146,109 Ilsley Avenue#14,Dartmouth,NS,B4B 1H3,CA,CA East,44.72605381,-63.70158357,1461,9022523390,Atlantic Division,CA-CF
PTD - BC,129,,Surrey,BC,,CA,CA West,,,1291,,BC Coastal Division,CA-CF
PTD - Engineered Services,144,,Regina,AB,,CA,CA West,,,1441,,Head Office Division - CF,CA-CF
PTD - Northern Alberta,130,,Edmonton,AB,,CA,CA West,,,1301,,Northern Alberta Division,CA-CF
PTD - Ontario,185,,,ON,,CA,CA Central,,,1851,,South Central Ontario,CA-CF
PTD - Peace,135,,Clairmont,AB,T8X 5A7,CA,CA West,55.23427771,-118.793027,1351,,Peace Area Division,CA-CF
PTD - Quebec,186,,,QC,,CA,CA East,,,1861,,Western Quebec,CA-CF
PTD - SK/MB,128,,Winnipeg,MB,R3T 5S3,CA,CA West,49.84215133,-97.15899623,1281,,Saskatchewan / Manitoba Division,CA-CF
PTD - Southern Alberta,127,"Building 224, 2880 45th Ave SE",Calgary,AB,T3J 3C6,CA,CA West,51.14657231,-113.9958374,1271,,Southern Alberta Division,CA-CF
Pukekohe,24,CNR Paerta Road & Comrie place,Pukekohe,AUK,2120,NZ,New Zealand,-37.18902637,174.9029011,248,09 237 0043,North Island North,"NZ-CF,NZ-CF"
Red Deer,105,101 Burnt Park Drive,Red Deer,AB,T4P 0J7,CA,CA West,52.3024387,-113.8643729,1051,403-343-7557,Southern Alberta Division,CA-CF
Regina,101,PO Box 3856,Regina,SK,S4P 3R8,CA,CA West,50.44942587,-104.4916768,1011,306-791-7777,Saskatchewan / Manitoba Division,CA-CF
Regina - TT,52,1507 Ross Ave E,Regina,SK,S4N 7E5,CA,CA West,50.46508805,-104.5635273,523,(306) 789-7383,Southern SK,"CA-TT,CA-TT"
Regina Pats,998,1463 Albert Street,Regina,SK,S4R 2R8,CA,CA West,50.45998139,-104.6180546,9980,,,
Remarketing - BC,134,,,BC,,CA,CA West,,,1341,,BC Coastal Division,CA-CF
Remarketing - Northern AB,133,,,AB,,CA,CA West,,,1331,,Northern Alberta Division,CA-CF
Remarketing - Ontario,187,,,ON,,CA,CA Central,,,1871,,South Central Ontario,CA-CF
Remarketing - Quebec,188,,,QC,,CA,CA East,,,1881,,Western Quebec,CA-CF
Remarketing - SK/MB,131,,,SK,,CA,CA West,,,1311,,Saskatchewan / Manitoba Division,CA-CF
Remarketing - Southern AB,132,,,AB,,CA,CA West,,,1321,,Southern Alberta Division,CA-CF
Rocky View - AG,301,292177 Crosspointe Road,Calgary,AB,T4A 0V3,CA,CA West,51.20284207,-113.973026,3011,(403) 280-2200,Southern Alberta,CA-AG
Rosthern - AG,322,911 Saskatchewan Street,Rosthern,SK,S0K 3R0,CA,CA West,52.6670574,-106.3244617,3221,(306) 232-4852,Northern Saskatchewan,CA-AG
Rotorua,15,52 Vaughan Road,Rotorua,BOP,3040,NZ,New Zealand,-38.14876638,176.2728679,158,07 345 5490,North Island South - AG,NZ-AG
Rotorua - CF,27,250 Te Ngae Road,Rotorua,BOP,3040,NZ,New Zealand,-38.1487495,176.2732756,278,,North Island South - CF,"NZ-CF,NZ-AG"
Saskatoon,102,800 60 St W,Saskatoon,SK,S7K 3N2,CA,CA West,52.1893703,-106.6878951,1021,306-664-4141,Saskatchewan / Manitoba Division,CA-CF
